Directors Guild Nominations and Winners for best Director from 1948,,,
Year,d nominees,Film,Ref.
1974,Francis Ford Coppola,The Godfather Part II,Winner
1974,Bob Fosse,Lenny,Nominee
1974,Francis Ford Coppola,The Conversation,Nominee
1974,Roman Polanski,Chinatown,Nominee
1974,Sidney Lumet,Murder on the Orient Express,Nominee
1975,Miloš Forman,One Flew Over the Cuckoo's Nest,Winner
1975,Robert Altman,Nashville,Nominee
1975,Sidney Lumet,Dog Day Afternoon,Nominee
1975,Stanley Kubrick,Barry Lyndon,Nominee
1975,Steven Spielberg,Jaws,Nominee
1976,John G. Avildsen,Rocky,Winner
1976,Alan J. Pakula,All the President's Men,Nominee
1976,Lina Wertmüller,Seven Beauties,Nominee
1976,Martin Scorsese,Taxi Driver,Nominee
1976,Sidney Lumet,Network,Nominee
1977,Woody Allen,Annie Hall,Winner
1977,Fred Zinnemann,Julia,Nominee
1977,George Lucas,Star Wars,Nominee
1977,Herbert Ross,The Turning Point,Nominee
1977,Steven Spielberg,Close Encounters of the Third Kind,Nominee
1978,Michael Cimino,The Deer Hunter,Winner
1978,Alan Parker,Midnight Express,Nominee
1978,Hal Ashby,Coming Home,Nominee
1978,Paul Mazursky,An Unmarried Woman,Nominee
1978,Warren Beatty and Buck Henry,Heaven Can Wait,Nominee
1979,Robert Benton,Kramer vs. Kramer,Winner
1979,Francis Ford Coppola,Apocalypse Now,Nominee
1979,James Bridges,The China Syndrome,Nominee
1979,Peter Yates,Breaking Away,Nominee
1979,Woody Allen,Manhattan,Nominee
1980,Robert Redford,Ordinary People,Winner
1980,David Lynch,The Elephant Man,Nominee
1980,Martin Scorsese,Raging Bull,Nominee
1980,Michael Apted,Coal Miner's Daughter,Nominee
1980,Richard Rush,The Stunt Man,Nominee
1981,Warren Beatty,Reds,Winner
1981,Hugh Hudson,Chariots of Fire,Nominee
1981,Louis Malle,Atlantic City,Nominee
1981,Mark Rydell,On Golden Pond,Nominee
